annotation;enumeration_value
Мишеронское, Костеревское, Владимирская область, Московская область;00:15:3
Северогривское, Костеревское, Владимирская область, Московская область;00:15:4
Владимирское, Лужское, Ленинградская область, Псковская область;00:16:1
Кисловское, Лужское, Ленинградская область, Псковская область;00:16:2
Липовское, Лужское, Ленинградская область, Псковская область;00:16:3
Лудонское, Лужское, Ленинградская область, Псковская область;00:16:4
Межевое, Лужское, Ленинградская область, Псковская область;00:16:5
Моховое, Лужское, Ленинградская область, Псковская область;00:16:6
Песчаное, Лужское, Ленинградская область, Псковская область;00:16:7
Петровское, Лужское, Ленинградская область, Псковская область;00:16:8
Куярское, Марийское, Республика Марий Эл, Республика Татарстан (Татарстан);00:17:1
Суслонгерское, Марийское, Республика Марий Эл, Республика Татарстан (Татарстан);00:17:2
243 участковое, Морозовское, Калининградская область, Ленинградская область;00:18:1
Северное, Морозовское, Калининградская область, Ленинградская область;00:18:10
Холмское, Морозовское, Калининградская область, Ленинградская область;00:18:11
Черняховское, Морозовское, Калининградская область, Ленинградская область;00:18:12
Южное, Морозовское, Калининградская область, Ленинградская область;00:18:13
Борковское, Морозовское, Калининградская область, Ленинградская область;00:18:2
Боровское, Морозовское, Калининградская область, Ленинградская область;00:18:3
Веденеевское, Морозовское, Калининградская область, Ленинградская область;00:18:4
Грибковское, Морозовское, Калининградская область, Ленинградская область;00:18:5
Ельниковское, Морозовское, Калининградская область, Ленинградская область;00:18:6
Иликовское, Морозовское, Калининградская область, Ленинградская область;00:18:7
Морское, Морозовское, Калининградская область, Ленинградская область;00:18:8
Озерское, Морозовское, Калининградская область, Ленинградская область;00:18:9
Мининское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:1
Монинское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:2
Наро-Фоминское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:3
Нахабинское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:4
Ногинское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:5
Октябрьское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:6
Первомайское, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:7
Селецкое, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:8
Тесницкое, Московское, Владимирская область, Калужская область, Московская область, Рязанская область, Тульская область, Ярославская область;00:19:9
Борское, Воронежский государственный природный биосферный заповедник, Воронежская область, Липецкая область;00:1:1
Краснолесненское, Воронежский государственный природный биосферный заповедник, Воронежская область, Липецкая область;00:1:2
Усманское, Воронежский государственный природный биосферный заповедник, Воронежская область, Липецкая область;00:1:3
Пашинское, Новосибирское, Кемеровская область, Новосибирская область, Омская область, Томская область;00:20:1
Томское, Новосибирское, Кемеровская область, Новосибирская область, Омская область, Томская область;00:20:2
Юргинское, Новосибирское, Кемеровская область, Новосибирская область, Омская область, Томская область;00:20:3
Пензенское, Пензенское, Пензенская область, Саратовская область, Ульяновская область;00:21:1
Причернавское, Пензенское, Пензенская область, Саратовская область, Ульяновская область;00:21:2
Татищевское, Пензенское, Пензенская область, Саратовская область, Ульяновская область;00:21:3
Ульяновское, Пензенское, Пензенская область, Саратовская область, Ульяновская область;00:21:4
Свердловское, Свердловское, Курганская область, Свердловская область;00:23:1
Шадринское, Свердловское, Курганская область, Свердловская область;00:23:2
Ворошиловское, Тверское, Новгородская область, Тверская область;00:24:1
Ивантеевское, Тверское, Новгородская область, Тверская область;00:24:2
Озерное, Тверское, Новгородская область, Тверская область;00:24:3
Кяхтинское, Улан-Удэнское, Забайкальский край, Республика Бурятия;00:25:1
Талецкое, Улан-Удэнское, Забайкальский край, Республика Бурятия;00:25:2
Горское, Хвойное, Вологодская область, Ленинградская область, Мурманская область, Республика Карелия;00:26:1
Лещинское, Хвойное, Вологодская область, Ленинградская область, Мурманская область, Республика Карелия;00:26:2
Онежское, Хвойное, Вологодская область, Ленинградская область, Мурманская область, Республика Карелия;00:26:3
Островское, Хвойное, Вологодская область, Ленинградская область, Мурманская область, Республика Карелия;00:26:4
Северное, Хвойное, Вологодская область, Ленинградская область, Мурманская область, Республика Карелия;00:26:5
Скалистое, Хвойное, Вологодская область, Ленинградская область, Мурманская область, Республика Карелия;00:26:6
Бургенское, Читинское, Забайкальский край, Республика Бурятия;00:27:1
Сретенское, Читинское, Забайкальский край, Республика Бурятия;00:27:2
Телембинское, Читинское, Забайкальский край, Республика Бурятия;00:27:3
Тунгокоченское, Читинское, Забайкальский край, Республика Бурятия;00:27:4
Читинское, Читинское, Забайкальский край, Республика Бурятия;00:27:5
Кавказское, Ярославское, Волгоградская область, Кабардино-Балкарская Республика, Краснодарский край, Республика Адыгея (Адыгея), Республика Северная Осетия - Алания;00:28:1
Майкопское, Ярославское, Волгоградская область, Кабардино-Балкарская Республика, Краснодарский край, Республика Адыгея (Адыгея), Республика Северная Осетия - Алания;00:28:2
Ярославское, Ярославское, Волгоградская область, Кабардино-Балкарская Республика, Краснодарский край, Республика Адыгея (Адыгея), Республика Северная Осетия - Алания;00:28:3
Захаринское, ГПБЗ Дарвинский, Вологодская область, Ярославская область;00:2:1
Центральное, ГПБЗ Дарвинский, Вологодская область, Ярославская область;00:2:2
Горловское, ГПБЗ Дарвинский, Вологодская область, Ярославская область;00:2:3
Богатовское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:1
Скобелевское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:10
Челюскинское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:11
Широковское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:12
Боровое-Опытное, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:2
Борское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:3
Державинское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:4
Колтубанское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:5
Комсомольское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:6
Красно-Зорькинское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:7
Партизанское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:8
Петровское, НП Бузулукский бор, Оренбургская область, Самарская область;00:6:9
Валдайское, НП Водлозерский, Архангельская область, Республика Карелия;00:7:1
Водлозерское, НП Водлозерский, Архангельская область, Республика Карелия;00:7:2
Илекское, НП Водлозерский, Архангельская область, Республика Карелия;00:7:3
Александровское, Завидовское, Московская область, Тверская область;00:8:1
Грибановское, Завидовское, Московская область, Тверская область;00:8:2
Завидовское, Завидовское, Московская область, Тверская область;00:8:3
Ошейкинское, Завидовское, Московская область, Тверская область;00:8:4
Сокольское, Завидовское, Московская область, Тверская область;00:8:5
Тургиновское, Завидовское, Московская область, Тверская область;00:8:6
Гузерипльское, Гузерипльское, Республика Адыгея (Адыгея);01:1:1
Даховское, Гузерипльское, Республика Адыгея (Адыгея);01:1:2
Даховское сельское, Гузерипльское, Республика Адыгея (Адыгея);01:1:3
Каменномостское, Гузерипльское, Республика Адыгея (Адыгея);01:1:4
Ново-Прохладненское, Гузерипльское, Республика Адыгея (Адыгея);01:1:5
Усть-Сахрайское, Гузерипльское, Республика Адыгея (Адыгея);01:1:6
Хамышинское, Гузерипльское, Республика Адыгея (Адыгея);01:1:7
Кошехабльское, Красногвардейское, Республика Адыгея (Адыгея);01:2:1
Красногвардейское, Красногвардейское, Республика Адыгея (Адыгея);01:2:2
Тахтамукайское, Красногвардейское, Республика Адыгея (Адыгея);01:2:3
Теучежское, Красногвардейское, Республика Адыгея (Адыгея);01:2:4
Шовгеновское, Красногвардейское, Республика Адыгея (Адыгея);01:2:5
Гиагинское, Майкопское, Республика Адыгея (Адыгея);01:3:1
Ханское сельское, Майкопское, Республика Адыгея (Адыгея);01:3:10
Цицинское, Майкопское, Республика Адыгея (Адыгея);01:3:11
Горбовское (Элота) Кужорское, Майкопское, Республика Адыгея (Адыгея);01:3:2
Горбовское (Элота) Майкопское, Майкопское, Республика Адыгея (Адыгея);01:3:3
Дагестанское, Майкопское, Республика Адыгея (Адыгея);01:3:4
Кужорское, Майкопское, Республика Адыгея (Адыгея);01:3:5
Курджипское, Майкопское, Республика Адыгея (Адыгея);01:3:6
Курджипское сельское, Майкопское, Республика Адыгея (Адыгея);01:3:7
Лесосеменное, Майкопское, Республика Адыгея (Адыгея);01:3:8
Опытное, Майкопское, Республика Адыгея (Адыгея);01:3:9
Абадзехское, Первомайское, Республика Адыгея (Адыгея);01:4:1
Абадзехское сельское, Первомайское, Республика Адыгея (Адыгея);01:4:2
Горбовское, Первомайское, Республика Адыгея (Адыгея);01:4:3
Махошевское, Первомайское, Республика Адыгея (Адыгея);01:4:4
Первомайское, Первомайское, Республика Адыгея (Адыгея);01:4:5
Севастопольское сельское, Первомайское, Республика Адыгея (Адыгея);01:4:6
Тульское, Первомайское, Республика Адыгея (Адыгея);01:4:7
Тульское сельское, Первомайское, Республика Адыгея (Адыгея);01:4:8
Бирское, Бирское, Республика Башкортостан;02:10:1
Рефандинское, Бирское, Республика Башкортостан;02:10:10
Челкаковское, Бирское, Республика Башкортостан;02:10:11
Чураевское, Бирское, Республика Башкортостан;02:10:12
Янтузовское, Бирское, Республика Башкортостан;02:10:13
Бирское сельское, Бирское, Республика Башкортостан;02:10:2
Бураевское, Бирское, Республика Башкортостан;02:10:3
Бураевское сельское, Бирское, Республика Башкортостан;02:10:4
Забельское, Бирское, Республика Башкортостан;02:10:5
Казанцевское, Бирское, Республика Башкортостан;02:10:6
Калинниковское, Бирское, Республика Башкортостан;02:10:7
Мишкинское, Бирское, Республика Башкортостан;02:10:8
Мишкинское сельское, Бирское, Республика Башкортостан;02:10:9
Асибарское, Бурзянское, Республика Башкортостан;02:11:1
Бельское, Бурзянское, Республика Башкортостан;02:11:2
Бетеринское, Бурзянское, Республика Башкортостан;02:11:3
Гадельгареевское, Бурзянское, Республика Башкортостан;02:11:4
Нижне-Бельское, Бурзянское, Республика Башкортостан;02:11:5
Нугушское, Бурзянское, Республика Башкортостан;02:11:6
Южно-Узянское, Бурзянское, Республика Башкортостан;02:11:7
Зилимское, Гафурийское, Республика Башкортостан;02:12:1
Табынское, Гафурийское, Республика Башкортостан;02:12:2
Ташлинское, Гафурийское, Республика Башкортостан;02:12:3
Усольское, Гафурийское, Республика Башкортостан;02:12:4
Гафурийское сельское, Гафурийское, Республика Башкортостан;02:12:5
Дуванское, Дуванское, Республика Башкортостан;02:13:1
Дуванское сельское, Дуванское, Республика Башкортостан;02:13:2
Калмашское, Дуванское, Республика Башкортостан;02:13:3
Месягутовское, Дуванское, Республика Башкортостан;02:13:4
Метелинское, Дуванское, Республика Башкортостан;02:13:5
Михайловское, Дуванское, Республика Башкортостан;02:13:6
Урмантавское, Дуванское, Республика Башкортостан;02:13:7
Ярославское, Дуванское, Республика Башкортостан;02:13:8
Ангасякское, Дюртюлинское, Республика Башкортостан;02:14:1
Чумарское, Дюртюлинское, Республика Башкортостан;02:14:10
Шариповское, Дюртюлинское, Республика Башкортостан;02:14:11
Яркеевское, Дюртюлинское, Республика Башкортостан;02:14:12
Дюртюлинское, Дюртюлинское, Республика Башкортостан;02:14:2
Калтасинское, Дюртюлинское, Республика Башкортостан;02:14:3
Калтасинское сельское, Дюртюлинское, Республика Башкортостан;02:14:4
Кангышское, Дюртюлинское, Республика Башкортостан;02:14:5
Карабашевское, Дюртюлинское, Республика Башкортостан;02:14:6
Куяновское, Дюртюлинское, Республика Башкортостан;02:14:7
Надеждинское, Дюртюлинское, Республика Башкортостан;02:14:8
Турачинское, Дюртюлинское, Республика Башкортостан;02:14:9
Баишевское, Зианчуринское, Республика Башкортостан;02:15:1
Кара-Тугайское, Зианчуринское, Республика Башкортостан;02:15:2
Касмарское, Зианчуринское, Республика Башкортостан;02:15:3
Юлдыбаевское, Зианчуринское, Республика Башкортостан;02:15:4
Емашлинское, Зилаирское, Республика Башкортостан;02:16:1
Зилаир-Шарское, Зилаирское, Республика Башкортостан;02:16:2
Ново-Александровское, Зилаирское, Республика Башкортостан;02:16:3
Петровское, Зилаирское, Республика Башкортостан;02:16:4
Сабыровское, Зилаирское, Республика Башкортостан;02:16:5
Суреньское, Зилаирское, Республика Башкортостан;02:16:6
Юлдыбаевское, Зилаирское, Республика Башкортостан;02:16:7
Иглинское, Иглинское, Республика Башкортостан;02:17:1
Пушкинское, Иглинское, Республика Башкортостан;02:17:2
Тавтимановское, Иглинское, Республика Башкортостан;02:17:3
Улу-Телякское, Иглинское, Республика Башкортостан;02:17:4
Урманское, Иглинское, Республика Башкортостан;02:17:5
Иглинское сельское, Иглинское, Республика Башкортостан;02:17:6
Ассинское, Инзерское, Республика Башкортостан;02:18:1
Дубинское, Инзерское, Республика Башкортостан;02:18:2
Инзерское, Инзерское, Республика Башкортостан;02:18:3
Мулдакаевское, Инзерское, Республика Башкортостан;02:18:4
Ивано-Кувалатское, Кананикольское, Республика Башкортостан;02:19:1
Канское, Кананикольское, Республика Башкортостан;02:19:2
Куркатавское, Кананикольское, Республика Башкортостан;02:19:3
Мало-Икское, Кананикольское, Республика Башкортостан;02:19:4
Абзелиловское сельское, Абзелиловское, Республика Башкортостан;02:1:1
Бурангуловское, Абзелиловское, Республика Башкортостан;02:1:2
Казмашевское, Абзелиловское, Республика Башкортостан;02:1:3
Кирдасовское, Абзелиловское, Республика Башкортостан;02:1:4
Кусимовское, Абзелиловское, Республика Башкортостан;02:1:5
Хамитовское, Абзелиловское, Республика Башкортостан;02:1:6
Байкибашевское, Караидельское, Республика Башкортостан;02:20:1
Караидельское, Караидельское, Республика Башкортостан;02:20:2
Кирзинское, Караидельское, Республика Башкортостан;02:20:3
Крушинское, Караидельское, Республика Башкортостан;02:20:4
Резимское, Караидельское, Республика Башкортостан;02:20:5
Караидельское сельское, Караидельское, Республика Башкортостан;02:20:6
Икское, Кугарчинское, Республика Башкортостан;02:21:1
Инякское, Кугарчинское, Республика Башкортостан;02:21:2
Кугарчинское, Кугарчинское, Республика Башкортостан;02:21:3
Мраковское, Кугарчинское, Республика Башкортостан;02:21:4
Наказское, Кугарчинское, Республика Башкортостан;02:21:5
Юмагузинское, Кугарчинское, Республика Башкортостан;02:21:6
Верхоторское, Макаровское, Республика Башкортостан;02:22:1
Ишимбайское, Макаровское, Республика Башкортостан;02:22:2
Кузяновское, Макаровское, Республика Башкортостан;02:22:3
Кулгунинское, Макаровское, Республика Башкортостан;02:22:4
Макаровское, Макаровское, Республика Башкортостан;02:22:5
Селеукское, Макаровское, Республика Башкортостан;02:22:6
Урнякское, Макаровское, Республика Башкортостан;02:22:7
Шихановское, Макаровское, Республика Башкортостан;02:22:8
Атняшское, Нуримановское, Республика Башкортостан;02:23:1
Исаевское, Нуримановское, Республика Башкортостан;02:23:2
Красноключевское, Нуримановское, Республика Башкортостан;02:23:3
Павловское, Нуримановское, Республика Башкортостан;02:23:4
Первомайское, Нуримановское, Республика Башкортостан;02:23:5
Салдыбашевское, Нуримановское, Республика Башкортостан;02:23:6
Сарвинское, Нуримановское, Республика Башкортостан;02:23:7
Нуримановское сельское, Нуримановское, Республика Башкортостан;02:23:8
Аркаульское, Салаватское, Республика Башкортостан;02:24:1
Калмакуловское, Салаватское, Республика Башкортостан;02:24:2
Кигинское, Салаватское, Республика Башкортостан;02:24:3
Кигинское сельское, Салаватское, Республика Башкортостан;02:24:4
Леузинское, Салаватское, Республика Башкортостан;02:24:5
Малоязовское, Салаватское, Республика Башкортостан;02:24:6
Салаватское сельское, Салаватское, Республика Башкортостан;02:24:7
Белогорское, Стерлитамакское, Республика Башкортостан;02:25:1
Тукаевское, Стерлитамакское, Республика Башкортостан;02:25:10
Федоровское, Стерлитамакское, Республика Башкортостан;02:25:11
Воскресенское, Стерлитамакское, Республика Башкортостан;02:25:2
Куганакское, Стерлитамакское, Республика Башкортостан;02:25:3
Куюргазинское, Стерлитамакское, Республика Башкортостан;02:25:4
Мелеузовское, Стерлитамакское, Республика Башкортостан;02:25:5
Салаватское, Стерлитамакское, Республика Башкортостан;02:25:6
Стерлибашевское, Стерлитамакское, Республика Башкортостан;02:25:7
Стерлитамакское, Стерлитамакское, Республика Башкортостан;02:25:8
Толбазинское, Стерлитамакское, Республика Башкортостан;02:25:9
Аршинское, Тирлянское, Республика Башкортостан;02:26:1
Верхне-Бельское, Тирлянское, Республика Башкортостан;02:26:2
Тирлянское, Тирлянское, Республика Башкортостан;02:26:3
Бакалинское, Туймазинское, Республика Башкортостан;02:27:1
Куручевское, Туймазинское, Республика Башкортостан;02:27:10
Мустафинское, Туймазинское, Республика Башкортостан;02:27:11
Нижне-Троицкое, Туймазинское, Республика Башкортостан;02:27:12
Октябрьское, Туймазинское, Республика Башкортостан;02:27:13
Присюньское, Туймазинское, Республика Башкортостан;02:27:14
Резяповское, Туймазинское, Республика Башкортостан;02:27:15
Тюменякское, Туймазинское, Республика Башкортостан;02:27:16
Чекмагушевское, Туймазинское, Республика Башкортостан;02:27:17
Шаранское, Туймазинское, Республика Башкортостан;02:27:18
Юрминское, Туймазинское, Республика Башкортостан;02:27:19
Бишиндинское, Туймазинское, Республика Башкортостан;02:27:2
Ярмунчинское, Туймазинское, Республика Башкортостан;02:27:20
Буздякское, Туймазинское, Республика Башкортостан;02:27:3
Верхне-Троицкое, Туймазинское, Республика Башкортостан;02:27:4
Гусевское, Туймазинское, Республика Башкортостан;02:27:5
Кандринское, Туймазинское, Республика Башкортостан;02:27:6
Кармалы-Губеевское, Туймазинское, Республика Башкортостан;02:27:7
Килеевское, Туймазинское, Республика Башкортостан;02:27:8
Кузеевское, Туймазинское, Республика Башкортостан;02:27:9
Благоварское, Уфимское, Республика Башкортостан;02:28:1
Осиповское, Уфимское, Республика Башкортостан;02:28:10
Покровское, Уфимское, Республика Башкортостан;02:28:11
Уфимское, Уфимское, Республика Башкортостан;02:28:12
Чишминское, Уфимское, Республика Башкортостан;02:28:13
Юматовское, Уфимское, Республика Башкортостан;02:28:14
Благовещенское, Уфимское, Республика Башкортостан;02:28:2
Демское, Уфимское, Республика Башкортостан;02:28:3
Дмитриевское, Уфимское, Республика Башкортостан;02:28:4
Красноярское, Уфимское, Республика Башкортостан;02:28:5
Кушнаренковское, Уфимское, Республика Башкортостан;02:28:6
Ново-Троицкое, Уфимское, Республика Башкортостан;02:28:7
Нурлинское, Уфимское, Республика Башкортостан;02:28:8
Орловское, Уфимское, Республика Башкортостан;02:28:9
Зауральское, Учалинское, Республика Башкортостан;02:29:1
Ильтибановское, Учалинское, Республика Башкортостан;02:29:2
Ильчигуловское, Учалинское, Республика Башкортостан;02:29:3
Кирябинское, Учалинское, Республика Башкортостан;02:29:4
Северо-Уральское, Учалинское, Республика Башкортостан;02:29:5
Уральское, Учалинское, Республика Башкортостан;02:29:6
Ургунское, Учалинское, Республика Башкортостан;02:29:7
Учалинское сельское, Учалинское, Республика Башкортостан;02:29:8
Авзянское, Авзянское, Республика Башкортостан;02:2:1
Зигазинское, Авзянское, Республика Башкортостан;02:2:2
Кагинское, Авзянское, Республика Башкортостан;02:2:3
Туканское, Авзянское, Республика Башкортостан;02:2:4
Узянское, Авзянское, Республика Башкортостан;02:2:5
Степное, Хайбуллинское, Республика Башкортостан;02:30:1
Усерганское, Хайбуллинское, Республика Башкортостан;02:30:2
Южно-Уральское, Хайбуллинское, Республика Башкортостан;02:30:3
Кайпановское, Янаульское, Республика Башкортостан;02:31:1
Янаульское сельское, Янаульское, Республика Башкортостан;02:31:10
Кармановское, Янаульское, Республика Башкортостан;02:31:2
Краснокамское сельское, Янаульское, Республика Башкортостан;02:31:3
Николо-Березовское, Янаульское, Республика Башкортостан;02:31:4
Ново-Артаульское, Янаульское, Республика Башкортостан;02:31:5
Прибельское, Янаульское, Республика Башкортостан;02:31:6
Татышлинское, Янаульское, Республика Башкортостан;02:31:7
Татышлинское сельское, Янаульское, Республика Башкортостан;02:31:8
Янаульское, Янаульское, Республика Башкортостан;02:31:9
Узянское, ГПЗ Башкирский, Республика Башкортостан;02:32:1
Хамитовское, ГПЗ Башкирский, Республика Башкортостан;02:32:2
Аксеновское, Альшеевское, Республика Башкортостан;02:3:1
Альшеевское, Альшеевское, Республика Башкортостан;02:3:2
Бик-Кармалинское, Альшеевское, Республика Башкортостан;02:3:3
Давлекановское, Альшеевское, Республика Башкортостан;02:3:4
Миякибашевское, Альшеевское, Республика Башкортостан;02:3:5
Миякинское, Альшеевское, Республика Башкортостан;02:3:6
Придемское, Альшеевское, Республика Башкортостан;02:3:7
Шафрановское, Альшеевское, Республика Башкортостан;02:3:8
Архангельское, Архангельское, Республика Башкортостан;02:4:1
Басинское, Архангельское, Республика Башкортостан;02:4:2
Бузовьязовское, Архангельское, Республика Башкортостан;02:4:3
Камышлинское, Архангельское, Республика Башкортостан;02:4:4
Куртовское, Архангельское, Республика Башкортостан;02:4:5
Лемезинское, Архангельское, Республика Башкортостан;02:4:6
Симское, Архангельское, Республика Башкортостан;02:4:7
Уршакское, Архангельское, Республика Башкортостан;02:4:8
Архангельское сельское, Архангельское, Республика Башкортостан;02:4:9
Без деления на участковые лесничества, г. Октябрьский, Республика Башкортостан;02:58:00
